Id;Name;Lage;Areacode;Abk.;Abk.;Raw;TextResBaseId;AnzText;PhotoFilename / GLI-Filename;AnzPhoto;Einwohner Stadt;Breite (X);Höhe (Y);Breite (X);Höhe (Y);Miete;NewInAddOn
355;Auckland;Australia;4;AKL;AKL;-;0;0;NOCITY;0;1628000;174,8;36,9;174,8;36,9;12000;1
286;Baghdad;Middle East;3;BGW;BGW;-;0;0;NOCITY;0;7144000;44,4;-33,3;44,4;-33,3;10000;1
220;Baku;East Europe;1;GYD;GYD;-;0;0;NOCITY;0;2300000;49,9;-40,4;49,9;-40,4;9000;1
316;Bali;Far East;4;DPS;DPS;-;0;0;NOCITY;0;1234000;115,1;8,3;115,1;8,3;12000;1
254;Bamako;West Africa;3;BKO;BKO;-;0;0;NOCITY;0;2700000;-8;-12,6;-8;-12,6;7000;1
317;Bandar Seri Begawan;Far East;4;BWN;BWN;-;0;0;NOCITY;0;100700;114,9;-4,9;114,9;-4,9;10000;1
303;Bangalore;South Asia;3;BLR;BLR;-;0;0;NOCITY;0;8443000;77,6;-13;77,6;-13;11000;1
131;Bangkok;South-East Asia;4;BKK;BKK;ban;2310;1;BANGKOK1;4;5876000;100;-14;100;-14;59000;0
266;Bangui;Central Africa;3;BGF;BGF;-;0;0;NOCITY;0;889000;18,6;-4,4;18,6;-4,4;5000;1
269;Banjul;West Africa;3;BJL;BJL;-;0;0;NOCITY;0;413000;-16,7;-13,5;-16,7;-13,5;5000;1
170;Barcelona;West Europe    ;1;BAR;BCN;-;2700;1;NOCITY;0;1500000;2,1;-43,2;4,1;-41,2;8000;2
288;Beirut;Middle East;3;BEY;BEY;-;0;0;NOCITY;0;2385000;35,5;-33,9;35,5;-33,9;14000;1
205;Belgrade;East Europe;1;BEG;BEG;-;0;0;NOCITY;0;1700000;20,5;-44,8;20,5;-44,8;10000;1
352;Belmopan;Middle America;2;BZE;BZE;-;0;0;NOCITY;0;13000;-88,8;-17,3;-88,8;-17,3;5000;1
108;Berlin;Mid Europe;1;BER;TXL;ber;2080;1;BERLIN1;1;3475000;13,5;-53,2;13,5;-53,2;35000;0
173;Bermuda;North America   ;2;BDA;BDA;-;2730;1;NOCITY;0;1000;-64,5;-32,1;-64,5;-32,1;420000;2
306;Bishkek;Central Asia;3;FRU;FRU;-;0;0;NOCITY;0;1012000;74,6;-42,9;74,6;-42,9;7000;1
270;Bissau;West Africa;3;OXB;OXB;-;0;0;NOCITY;0;395000;-15,6;-11,9;-15,6;-11,9;5000;1
333;Bogota;South America;2;BOG;BOG;-;0;0;NOCITY;0;7412000;-74,1;-4,7;-74,1;-4,7;12000;1
332;Brasilia;South America;2;BSB;BSB;-;0;0;NOCITY;0;3055000;-47,9;15,8;-47,9;15,8;12000;1
208;Bratislava;Mid Europa;1;BTS;BTS;-;0;0;NOCITY;0;475000;17,1;-48,2;17,1;-48,2;9000;1
260;Brazzaville;Central Africa;3;BZV;BZV;-;0;0;NOCITY;0;1827000;15,2;4,3;15,2;4,3;7000;1
351;Bridgetown;Middle America;2;BGI;BGI;-;0;0;NOCITY;0;110000;-59,6;-13,1;-59,6;-13,1;10000;1
356;Brisbane;Australia;4;BNE;BNE;-;0;0;NOCITY;0;2360000;153;27,5;153;27,5;11000;1
168;Brussels;West Europe    ;1;BRU;BRU;-;2680;1;NOCITY;0;959000;4,2;-50,5;9,2;-48,5;7000;2
204;Bucharest;East Europe;1;BUH;OTP;-;0;0;NOCITY;0;1800000;26,1;-44,4;26,1;-44,4;12000;1
203;Budapest;Mid Europa;1;BUD;BUD;-;0;0;NOCITY;0;1750000;19;-47,5;19;-47,5;15000;1
101;Buenos Aires;South America;2;BUE;EZE;bea;2010;1;NOCITY;0;3000000;-60;32;-64;35,5;30000;0
329;Busan;Far East;4;PUS;PUS;-;0;0;NOCITY;0;3404000;129,1;-35,2;129,1;-35,2;9000;1
357;Cairns;Australia;4;CNS;CNS;-;0;0;NOCITY;0;150000;145,8;16,9;145,8;16,9;9000;1
100;Cairo;North-East Africa;3;KAI;CAI;kairo;2000;2;KAIRO1;3;6800000;31,5;-30;31,5;-30;68000;0
335;Cali;South America;2;CLO;CLO;-;0;0;NOCITY;0;2401000;-76,5;-3,4;-76,5;-3,4;8000;1
354;Canberra;Australia;4;CBR;CBR;-;0;0;NOCITY;0;395000;149,1;35,3;149,1;35,3;11000;1
353;Cancun;Middle America;2;CUN;CUN;-;0;0;NOCITY;0;888000;-86,9;-21,2;-86,9;-21,2;14000;1
176;Cape Town;Africa         ;3;KAP;CPT;-;2760;1;NOCITY;0;2730000;18,2;33,5;15,2;36;12000;2
134;Caracas;South America;2;CAR;CCS;car;2340;1;NOCITY;0;1824000;-66,5;-11;-70;1;18000;0
238;Casablanca;North Africa;3;CMN;CMN;-;0;0;NOCITY;0;3752000;-7,6;-33,6;-7,6;-33,6;12000;1
328;Chengdu;Far East;4;CTU;CTU;-;0;0;NOCITY;0;16044000;104,1;-30,6;104,1;-30,6;11000;1
324;Chiang Mai;Far East;4;CNX;CNX;-;0;0;NOCITY;0;127000;99;-18,8;99;-18,8;9000;1
138;Chicago;North America;2;CHI;ORD;chi;2380;1;CHICAGO1;4;2768000;-87;-42;-87;-36;28000;0
232;Cologne;West Europe;1;CGN;CGN;-;0;0;NOCITY;0;1080000;7;-50,9;7;-50,9;13000;1
300;Colombo;South Asia;3;CMB;CMB;-;0;0;NOCITY;0;752000;79,9;-6,9;79,9;-6,9;9000;1
255;Conakry;West Africa;3;CKY;CKY;-;0;0;NOCITY;0;1600000;-13,7;-9,5;-13,7;-9,5;6000;1
107;Copenhagen;North Europe;1;KOP;CPH;kop;2070;1;KOPEN1;1;467000;14;-55,6;14;-55,6;5000;0
268;Cotonou;West Africa;3;COO;COO;-;0;0;NOCITY;0;800000;2,4;-6,4;2,4;-6,4;6000;1
140;Dakar;Africa;3;DAK;DKR;dak;2400;1;DAKAR1;1;1729000;-17;-14;-17;-14;17000;0
160;Dallas;North America   ;2;DAL;DFW;-;2600;1;NOCITY;0;1190000;-101,5;-32,5;-104,5;-25,5;10000;2
289;Damascus;Middle East;3;DAM;DAM;-;0;0;NOCITY;0;1800000;36,3;-33,5;36,3;-33,5;9000;1
284;Dar es Salaam;East Africa;3;DAR;DAR;-;0;0;NOCITY;0;4364000;39,3;6,8;39,3;6,8;10000;1
115;Delhi;India;3;DEL;DEL;del;2150;1;DELHI1;2;7210000;76,5;-28,5;76,5;-28,5;3000;0
151;Denver;North America;2;DEN;DEN;den;2510;1;DENVER1;2;468000;-108;-40;-105;-40;3000;1
163;Detroit;North America   ;2;DET;DTW;-;2630;1;NOCITY;0;951000;-86;-42,2;-85;-41;9000;2
299;Dhaka;South Asia;3;DAC;DAC;-;0;0;NOCITY;0;14399000;90,4;-23,8;90,4;-23,8;9000;1
318;Dili;Australia;4;DIL;DIL;-;0;0;NOCITY;0;222000;125,6;8,6;125,6;8,6;5000;1
263;Djibouti;East Africa;3;JIB;JIB;-;0;0;NOCITY;0;620000;43,1;-11,6;43,1;-11,6;7000;1
293;Doha;Middle East;3;DOH;DOH;-;0;0;NOCITY;0;2382000;51,5;-25,3;51,5;-25,3;16000;1
295;Dubai;Middle East;3;DXB;DXB;-;0;0;NOCITY;0;3331000;55,3;-25,2;55,3;-25,2;18000;1
152;Dublin;Europe;1;DUB;DUB;dub;2520;1;DUBLIN1;3;470000;-7;-54;-3;-53;3500;1
308;Dushanbe;Central Asia;3;DYU;DYU;-;0;0;NOCITY;0;863000;68,8;-38,6;68,8;-38,6;7000;1
233;Dusseldorf;West Europe;1;DUS;DUS;-;0;0;NOCITY;0;620000;6,8;-51,2;6,8;-51,2;14000;1
223;Edinburgh;North Europe;1;EDI;EDI;-;0;0;NOCITY;0;540000;-3,2;-55,9;-3,2;-55,9;12000;1
227;Florence;South Europe;1;FLR;FLR;-;0;0;NOCITY;0;380000;11,3;-43,8;11,3;-43,8;12000;1
153;Frankfurt;Europe;1;FRA;FRA;fra;2530;1;FRANK1;2;650000;8,5;-50;10;-50;10000;1
256;Freetown;West Africa;3;FNA;FNA;-;0;0;NOCITY;0;1055000;-13,2;-8,5;-13,2;-8,5;6000;1
250;Gaborone;Southern Africa;3;GBE;GBE;-;0;0;NOCITY;0;270000;25,9;24,7;25,9;24,7;7000;1
348;Georgetown;South America;2;GEO;GEO;-;0;0;NOCITY;0;235000;-58,2;-6,8;-58,2;-6,8;7000;1
278;Gitega;East Africa;3;GID;GID;-;0;0;NOCITY;0;133000;29,9;3,4;29,9;3,4;5000;1
327;Guangzhou;Far East;4;CAN;CAN;-;0;0;NOCITY;0;13501000;113,3;-23,1;113,3;-23,1;13000;1
342;Guatemala City;Middle America;2;GUA;GUA;-;0;0;NOCITY;0;2450000;-90,5;-14,6;-90,5;-14,6;8000;1
231;Hamburg;North Europe;1;HAM;HAM;-;0;0;NOCITY;0;1850000;10;-53,6;10;-53,6;14000;1
309;Hanoi;Far East;4;HAN;HAN;-;0;0;NOCITY;0;8053000;105,8;-21;105,8;-21;9000;1
247;Harare;East Africa;3;HRE;HRE;-;0;0;NOCITY;0;1500000;31,1;17,8;31,1;17,8;8000;1
339;Havana;Middle America;2;HAV;HAV;-;0;0;NOCITY;0;2106000;-82,4;-23,1;-82,4;-23,1;8000;1
111;Helsinki;North Europe;1;HEL;HEL;hel;2110;1;NOCITY;0;508000;24,5;-60;24,5;-60;5000;0
310;Ho Chi Minh City;Far East;4;SGN;SGN;-;0;0;NOCITY;0;8993000;106,6;-10,8;106,6;-10,8;10000;1
145;Hong Kong;Asia;4;HKG;HKG;hong;2450;1;HK1;4;1102000;114;-22;114;-22;20000;0
360;Honiara;Pacific;4;HIR;HIR;-;0;0;NOCITY;0;84000;160;9,4;160;9,4;6000;1
149;Honolulu;Pacific;4;HON;HNL;honu;2490;1;HAWAII1;2;365000;-157;-21;-141;-17;18000;0
157;Houston;North America;2;HOU;IAH;hou;2570;1;HOUSTON1;1;1600000;-96;-32;-96;-25;20000;1
297;Islamabad;South Asia;3;ISB;ISB;-;0;0;NOCITY;0;1014000;73,1;-33,7;73,1;-33,7;8000;1
236;Istanbul;Europe;1;IST;IST;-;0;0;NOCITY;0;15460000;28,9;-41;28,9;-41;18000;1
314;Jakarta;Far East;4;CGK;CGK;-;0;0;NOCITY;0;10562000;106,9;6,2;106,9;6,2;11000;1
290;Jerusalem;Middle East;3;JRS;JRS;-;0;0;NOCITY;0;919000;35,2;-31,8;35,2;-31,8;12000;1
130;Johannesburg;South Africa;3;JOH;JNB;john;2300;1;NOCITY;0;712000;28;26;28;26;7000;0
302;Kabul;South Asia;3;KBL;KBL;-;0;0;NOCITY;0;4601000;69,2;-34,5;69,2;-34,5;7000;1
252;Kampala;East Africa;3;EBB;EBB;-;0;0;NOCITY;0;3200000;32,6;-0,3;32,6;-0,3;8000;1
298;Karachi;South Asia;3;KHI;KHI;-;0;0;NOCITY;0;14910000;67;-24,9;67;-24,9;10000;1
301;Kathmandu;South Asia;3;KTM;KTM;-;0;0;NOCITY;0;1029000;85,3;-27,7;85,3;-27,7;8000;1
241;Khartoum;North Africa;3;KRT;KRT;-;0;0;NOCITY;0;5000000;32,5;-15,6;32,5;-15,6;8000;1
142;Kiev;East Europe;1;KIE;KBP;kiev;2420;1;NOCITY;0;2660000;30;-50;30;-50;27000;0
253;Kigali;East Africa;3;KGL;KGL;-;0;0;NOCITY;0;1130000;30,1;1,9;30,1;1,9;8000;1
154;Kingston;Mid America;2;KIN;ISO;king;2540;1;KING1;1;550000;-75;-18;-80;-14;4000;1
245;Kinshasa;Central Africa;3;FIH;FIH;-;0;0;NOCITY;0;14000000;15,3;4,3;15,3;4,3;8000;1
315;Kuala Lumpur;Far East;4;KUL;KUL;-;0;0;NOCITY;0;1768000;101,7;-3,1;101,7;-3,1;12000;1
291;Kuwait City;Middle East;3;KWI;KWI;-;0;0;NOCITY;0;2380000;48;-29,4;48;-29,4;14000;1
244;Lagos;West Africa;3;LOS;LOS;-;0;0;NOCITY;0;14800000;3,4;-6,5;3,4;-6,5;14000;1
172;Lanzarote;West Europe    ;1;LAN;ACE;-;2720;1;NOCITY;0;54000;-13,3;-28,6;-18,3;-28,6;4000;2
164;Las Vegas;North America   ;2;LAS;LAS;-;2640;1;VEGAS1;2;478000;-115,9;-36,1;-115,9;-29,1;7000;2
265;Libreville;Central Africa;3;LBV;LBV;-;0;0;NOCITY;0;800000;9,5;-0,4;9,5;-0,4;9000;1
271;Lilongwe;East Africa;3;LLW;LLW;-;0;0;NOCITY;0;1077000;33,8;14;33,8;14;6000;1
125;Lima;South America;2;LIM;LIM;lima;2250;1;LIMA1;1;6414000;-76;12;-76;20;64000;0
201;Lisbon;West Europe;1;LIS;LIS;-;0;0;NOCITY;0;2900000;-9,1;-38,7;-9,1;-38,7;15000;1
267;Lome;West Africa;3;LFW;LFW;-;0;0;NOCITY;0;837000;1,2;-6,1;1,2;-6,1;6000;1
114;London;Western Europe;1;LON;LHR;lon;2140;1;LONDON1;5;6904000;0;-51,8;0;-51,8;69000;0
137;Los Angeles;North America;2;LOS;LAX;la;2370;1;LA1;3;3489000;-118;-34;-118;-26;35000;0
246;Luanda;Central Africa;3;LAD;LAD;-;0;0;NOCITY;0;8300000;13,2;8,8;13,2;8,8;11000;1
248;Lusaka;East Africa;3;LUN;LUN;-;0;0;NOCITY;0;2400000;28,3;15,4;28,3;15,4;8000;1
222;Luxembourg City;West Europe;1;LUX;LUX;-;0;0;NOCITY;0;130000;6,1;-49,6;6,1;-49,6;18000;1
229;Lyon;West Europe;1;LYS;LYS;-;0;0;NOCITY;0;520000;4,8;-45,7;4,8;-45,7;12000;1
129;Madrid;South-West Europe;1;MAD;MAD;madrid;2290;1;MADRID1;1;3010000;-5;-43;-3,5;-40,5;30000;0
277;Malabo;Central Africa;3;SSG;SSG;-;0;0;NOCITY;0;187000;8,8;-3,8;8,8;-3,8;7000;1
139;Male;India;3;MLE;MLE;male;2390;1;MALE1;6;56000;73;0;73;0;1000;0
345;Managua;Middle America;2;MGA;MGA;-;0;0;NOCITY;0;1100000;-86,3;-12,1;-86,3;-12,1;6000;1
292;Manama;Middle East;3;BAH;BAH;-;0;0;NOCITY;0;617000;50,6;-26,2;50,6;-26,2;14000;1
224;Manchester;West Europe;1;MAN;MAN;-;0;0;NOCITY;0;2800000;-2,2;-53,5;-2,2;-53,5;13000;1
126;Manila;South-East Asia;4;MAN;MNL;manila;2260;1;MANILA1;2;1601000;122;-14,8;122;-14,8;16000;0
249;Maputo;East Africa;3;MPM;MPM;-;0;0;NOCITY;0;1100000;32,6;26;32,6;26;7000;1
282;Marrakech;North Africa;3;RAK;RAK;-;0;0;NOCITY;0;928000;-8;-31,6;-8;-31,6;10000;1
273;Maseru;Southern Africa;3;MSU;MSU;-;0;0;NOCITY;0;330000;27,5;29,3;27,5;29,3;5000;1
274;Mbabane;Southern Africa;3;MTS;MTS;-;0;0;NOCITY;0;95000;31,1;26,3;31,1;26,3;5000;1
334;Medellin;South America;2;MDE;MDE;-;0;0;NOCITY;0;2569000;-75,6;-6,3;-75,6;-6,3;9000;1
103;Melbourne;Australia;4;MEL;MEL;mel;2030;1;MEL1;2;3000000;146;33;144;38;30000;0
121;Mexico City;America;2;MEX;MEX;mex;2210;1;MEXICO1;2;8236000;-99;-19,8;-99;-12;82000;0
136;Miami;North America;2;MIA;MIA;miami;2360;2;MIAMI1;2;367000;-82;-27;-86;-19;4000;0
225;Milan;South Europe;1;MXP;MXP;-;0;0;NOCITY;0;1380000;9,2;-45,5;9,2;-45,5;16000;1
212;Minsk;East Europe;1;MSQ;MSQ;-;0;0;NOCITY;0;1980000;27,6;-53,9;27,6;-53,9;10000;1
262;Mogadishu;East Africa;3;MGQ;MGQ;-;0;0;NOCITY;0;2587000;45,3;-2,1;45,3;-2,1;5000;1
281;Mombasa;East Africa;3;MBA;MBA;-;0;0;NOCITY;0;1200000;39,7;4;39,7;4;9000;1
257;Monrovia;West Africa;3;ROB;ROB;-;0;0;NOCITY;0;1010000;-10,8;-6,3;-10,8;-6,3;5000;1
338;Montevideo;South America;2;MVD;MVD;-;0;0;NOCITY;0;1380000;-56,2;34,9;-56,2;34,9;10000;1
264;Moroni;East Africa;3;HAH;HAH;-;0;0;NOCITY;0;62000;43,3;11,7;43,3;11,7;5000;1
143;Moscow;Russia;1;MOS;SVO;mosk;2430;1;MOSKAU1;1;8667000;37;-55;37;-55;87000;0
326;Mumbai;South Asia;3;BOM;BOM;-;0;0;NOCITY;0;20667000;72,9;-19,1;72,9;-19,1;14000;1
109;Munich;Mid Europe;1;MUN;MUC;muench;2090;1;MUNICH1;1;1255000;11,5;-48,2;11,5;-48,2;13000;0
296;Muscat;Middle East;3;MCT;MCT;-;0;0;NOCITY;0;1421000;58,6;-23,6;58,6;-23,6;12000;1
330;Nagoya;Far East;4;NGO;NGO;-;0;0;NOCITY;0;2283000;136,9;-35,2;136,9;-35,2;11000;1
118;Nairobi;East Africa;3;NAI;NBO;nairobi;2180;1;NAIRO1;1;1505000;37,5;1;37,5;1;15000;0
228;Naples;South Europe;1;NAP;NAP;-;0;0;NOCITY;0;960000;14,3;-40,9;14,3;-40,9;9000;1
347;Nassau;Middle America;2;NAS;NAS;-;0;0;NOCITY;0;280000;-77,4;-25;-77,4;-25;12000;1
313;Naypyidaw;Far East;4;NYT;NYT;-;0;0;NOCITY;0;924000;96,1;-19,8;96,1;-19,8;6000;1
261;NDjamena;Central Africa;3;NDJ;NDJ;-;0;0;NOCITY;0;1300000;15;-12,1;15;-12,1;6000;1
135;New York;North America;2;NEW;JFK;ny;2350;1;NY1;5;7312000;-74;-42,3;-74;-36;73000;0
259;Niamey;West Africa;3;NIM;NIM;-;0;0;NOCITY;0;1260000;2,1;-13,5;2,1;-13,5;5000;1
230;Nice;South Europe;1;NCE;NCE;-;0;0;NOCITY;0;340000;7,3;-43,7;7,3;-43,7;14000;1
217;Nicosia;South-East Europe;1;NIC;NIC;-;0;0;NOCITY;0;330000;33,4;-35,2;33,4;-35,2;9000;1
279;Nouakchott;West Africa;3;NKC;NKC;-;0;0;NOCITY;0;1030000;-16;-18,1;-16;-18,1;5000;1
363;Nukualofa;Pacific;4;TBU;TBU;-;0;0;NOCITY;0;23000;-175,2;21,1;-175,2;21,1;5000;1
167;Orlando;North America   ;2;ORL;MCO;-;2670;1;ORLANDO1;1;186000;-84,2;-28,3;-84,2;-22,3;7000;2
169;Osaka;Asia          ;4;OSA;KIX;-;2690;1;NOCITY;0;2470000;135,3;-34,4;135,3;-34,4;12000;2
123;Oslo;North Europe;1;OSL;FBU;oslo;2230;1;OSLO1;1;473000;11;-60;11;-60;5000;0
162;Ottawa;North America   ;2;OTT;YOW;-;2620;1;NOCITY;0;323000;-79,4;-45,2;-80,4;-42,2;1200;2
258;Ouagadougou;West Africa;3;OUA;OUA;-;0;0;NOCITY;0;2400000;-1,5;-12,4;-1,5;-12,4;6000;1
171;Palma de Mallorca;West Europe    ;1;PAL;PMI;-;2710;1;MALLORC1;2;319000;2,4;-41,3;4,4;-39,3;7000;2
346;Panama City;Middle America;2;PTY;PTY;-;0;0;NOCITY;0;880000;-79,5;-9;-79,5;-9;10000;1
364;Papeete;Pacific;4;PPT;PPT;-;0;0;NOCITY;0;26000;-149,6;17,5;-149,6;17,5;9000;1
349;Paramaribo;South America;2;PBM;PBM;-;0;0;NOCITY;0;240000;-55,2;-5,9;-55,2;-5,9;7000;1
112;Paris;West Europe;1;PAR;CDG;par;2120;1;PARIS1;2;2152000;2,3;-48,7;4;-48,7;22000;0
106;Peking;East Asia;4;PEK;PEK;pek;2060;2;PEKING1;2;8000000;116,5;-40;116,5;-40;80000;0
155;Perth;Australia;4;PER;PER;per;2550;1;PERTH1;2;1200000;115;31;112;32;5000;1
311;Phnom Penh;Far East;4;PNH;PNH;-;0;0;NOCITY;0;1501000;104,9;-11,6;104,9;-11,6;7000;1
165;Phoenix;North America   ;2;PHO;PHX;-;2650;1;NOCITY;0;1320000;-112;-33,3;-112;-28,3;9000;2
323;Phuket;Far East;4;HKT;HKT;-;0;0;NOCITY;0;76000;98,4;-7,9;98,4;-7,9;12000;1
216;Podgorica;South-East Europe;1;TGD;TGD;-;0;0;NOCITY;0;190000;19,3;-42,4;19,3;-42,4;6000;1
341;Port au Prince;Middle America;2;PAP;PAP;-;0;0;NOCITY;0;987000;-72,3;-18,5;-72,3;-18,5;5000;1
358;Port Moresby;Australia;4;POM;POM;-;0;0;NOCITY;0;364000;147,2;9,4;147,2;9,4;7000;1
350;Port of Spain;Middle America;2;POS;POS;-;0;0;NOCITY;0;534000;-61,5;-10,7;-61,5;-10,7;9000;1
361;Port Vila;Pacific;4;VLI;VLI;-;0;0;NOCITY;0;51000;168,3;17,7;168,3;17,7;6000;1
234;Porto;West Europe;1;OPO;OPO;-;0;0;NOCITY;0;240000;-8,6;-41,2;-8,6;-41,2;10000;1
202;Prague;Mid Europa;1;PRG;PRG;-;0;0;NOCITY;0;1300000;14,4;-50,1;14,4;-50,1;15000;1
175;Punta Cana;Mid America ;2;PUN;PUJ;-;2750;1;NOCITY;0;3170000;-69,2;-19,3;-78,2;-14,3;12000;2
319;Pyongyang;Far East;4;FNJ;FNJ;-;0;0;NOCITY;0;3255000;125,7;-39;125,7;-39;6000;1
336;Quito;South America;2;UIO;UIO;-;0;0;NOCITY;0;2011000;-78,5;0,2;-78,5;0,2;9000;1
237;Rabat;North Africa;3;RBA;RBA;-;0;0;NOCITY;0;580000;-6,8;-34;-6,8;-34;9000;1
144;Reykjavik;West Europe;1;REY;REK;rekj;2440;1;REYKJA1;2;108000;-20;-63;-20;-63;1000;0
210;Riga;North Europe;1;RIX;RIX;-;0;0;NOCITY;0;615000;24,1;-56,9;24,1;-56,9;8000;1
105;Rio de Janeiro;South America;2;RIO;GIG;rio;2050;1;RIO1;2;5500000;-45;19;-53;30;55000;0
147;Riyadh;East Africa;3;RIA;RUH;riad;2470;1;NOCITY;0;1975000;47;-24;47;-24;20000;0
116;Rome;South Europe;1;ROM;FCO;rom;2160;1;ROM1;1;2687000;13,5;-42,5;13,5;-42,5;27000;0
166;Saint Louis;North America   ;2;STL;STL;-;2660;1;NOCITY;0;348000;-90,1;-38,4;-98,1;-32,4;2500;2
161;San Francisco;North America   ;2;SFO;SFO;-;2610;1;SANFRAN1;4;777000;-125,2;-37,5;-122,2;-29,5;12000;2
119;San Jose;Mid America;2;SAN;SJO;sjose;2190;1;SANJOSE1;1;313000;-84;-10;-84;-2;3000;0
343;San Salvador;Middle America;2;SAL;SAL;-;0;0;NOCITY;0;567000;-89,2;-13,7;-89,2;-13,7;7000;1
177;Santiago de Chile;South America    ;2;CHI;SCL;-;2770;1;NOCITY;0;5490000;-78,4;33,3;-78;36;50000;2
340;Santo Domingo;Middle America;2;SDQ;SDQ;-;0;0;NOCITY;0;2201000;-69,9;-18,5;-69,9;-18,5;8000;1
331;Sao Paulo;South America;2;GRU;GRU;-;0;0;NOCITY;0;12325000;-46,6;23,5;-46,6;23,5;14000;1
275;Sao Tome;Central Africa;3;TMS;TMS;-;0;0;NOCITY;0;90000;6,7;-0,3;6,7;-0,3;6000;1
207;Sarajevo;East Europe;1;SJJ;SJJ;-;0;0;NOCITY;0;275000;18,4;-43,9;18,4;-43,9;7000;1
120;Seoul;East Asia;4;SEO;SEL;seoul;2200;1;SEOUL1;2;10612000;127;-37,5;124;-35;106000;0
235;Seville;South Europe;1;SVQ;SVQ;-;0;0;NOCITY;0;700000;-6;-37,4;-6;-37,4;10000;1
325;Shanghai;Far East;4;PVG;PVG;-;0;0;NOCITY;0;24152000;121,5;-31,2;121,5;-31,2;16000;1
283;Sharm el-Sheikh;North Africa;3;SSH;SSH;-;0;0;NOCITY;0;35000;34,3;-27,9;34,3;-27,9;12000;1
128;Singapore;South-East Asia;4;SIN;SIN;spur;2280;1;SINGA1;1;2818200;103,5;-1,5;103,5;-1,5;28000;0
215;Skopje;South-East Europe;1;SKP;SKP;-;0;0;NOCITY;0;540000;21,4;-42;21,4;-42;7000;1
213;Sofia;South-East Europe;1;SOF;SOF;-;0;0;NOCITY;0;1260000;23,3;-42,7;23,3;-42,7;9000;1
156;Stockholm;Europe;1;STO;ARN;sto;2560;1;STOCKH1;2;695000;18;-59;21;-59;5000;1
359;Suva;Pacific;4;SUV;SUV;-;0;0;NOCITY;0;77000;178,4;18,1;178,4;18,1;7000;1
102;Sydney;Australia;4;SYD;SYD;syd;2020;1;SYDNEY1;1;4000000;150;32,8;148;34,8;40000;0
322;Taipei;Far East;4;TPE;TPE;-;0;0;NOCITY;0;2646000;121,6;-25,1;121,6;-25,1;12000;1
211;Tallinn;North Europe;1;TLL;TLL;-;0;0;NOCITY;0;440000;24,8;-59,4;24,8;-59,4;8000;1
304;Tashkent;Central Asia;3;TAS;TAS;-;0;0;NOCITY;0;2371000;69,3;-41,3;69,3;-41,3;9000;1
219;Tbilisi;East Europe;1;TBS;TBS;-;0;0;NOCITY;0;1120000;44,8;-41,7;44,8;-41,7;8000;1
344;Tegucigalpa;Middle America;2;TGU;TGU;-;0;0;NOCITY;0;850000;-87,2;-14,1;-87,2;-14,1;6000;1
285;Tehran;Middle East;3;THR;THR;-;0;0;NOCITY;0;8700000;51,4;-35,7;51,4;-35,7;14000;1
321;Thimphu;South Asia;3;PBH;PBH;-;0;0;NOCITY;0;115000;89,6;-27,5;89,6;-27,5;6000;1
