Id;From;To;Offset2dX;Offset2dY;Offset3dX;Offset3dY;Note1;Note2;Note3;Noise
444;B2;R6;17;42;-82;70;100;100;100;0
644;B2;L6;17;17;42;-44;100;100;100;0
450;B3;R1;7;34;-104;63;100;100;100;0
650;B3;L1;12;-39;39;-121;100;100;100;0
451;B3;R2;14;34;-124;66;100;100;100;0
651;B3;L2;14;-25;50;-97;100;100;100;0
452;B3;R4;26;34;-100;57;100;100;100;0
652;B3;L4;26;-30;61;-95;100;100;100;0
453;B3;R5;23;35;-39;60;100;100;100;0
653;B3;L5;23;-8;54;-42;100;100;100;0
460;B4;R2;39;60;-101;100;100;100;100;0
660;B4;L2;39;1;92;-99;100;100;100;0
461;B4;R4;51;60;-88;98;100;100;100;0
661;B4;L4;51;-4;103;-93;100;100;100;0
462;B4;R5;48;55;-21;98;100;100;100;0
662;B4;L5;48;15;98;-44;100;100;100;0
470;B5;R1;27;46;-75;80;100;100;100;0
670;B5;L1;27;-28;76;-118;100;100;100;0
471;B5;R2;36;48;-99;83;100;100;100;0
671;B5;L2;36;-14;86;-93;100;100;100;0
472;B5;R3;-1;47;-107;71;100;100;100;0
672;B5;L3;-1;-8;31;-88;100;100;100;0
473;B5;R4;51;47;-82;80;100;100;100;0
673;B5;L4;51;-19;95;-89;100;100;100;0
474;B5;R5;48;48;-14;79;100;100;100;0
674;B5;L5;48;6;90;-41;100;100;100;0
700;R1;M1;-1;19;179;35;100;100;100;2
710;L1;M1;-4;61;93;157;100;100;100;2
701;R1;M2;-15;13;191;37;100;100;100;15
711;L1;M2;-18;55;105;156;100;100;100;15
704;R1;M5;90;22;-33;40;100;100;100;0
714;L1;M5;64;-14;102;-27;100;100;100;0
707;R1;M8;-16;19;99;37;100;100;100;8
717;L1;M8;-19;56;31;136;100;100;100;8
720;R1;M1;19;27;105;52;100;100;100;0
730;L1;M1;11;49;101;106;100;100;100;0
721;R1;M2;5;21;117;54;100;100;100;0
731;L1;M2;-3;43;113;102;100;100;100;0
722;R1;M3;13;13;106;45;100;100;100;0
732;L1;M3;5;35;102;99;100;100;100;0
723;R1;M4;15;27;108;54;100;100;100;0
733;L1;M4;7;49;104;108;100;100;100;0
725;R1;M6;12;27;71;28;100;100;100;0
735;L1;M6;4;49;64;82;100;100;100;0
726;R1;M7;9;27;63;27;100;109;100;0
736;L1;M7;1;49;56;81;100;100;100;0
727;R1;M8;6;27;35;53;100;100;100;0
737;L1;M8;-4;44;42;85;100;100;100;0
740;R1;M1;38;39;35;75;100;100;100;0
750;L1;M1;25;38;109;54;100;100;100;0
741;R1;M2;24;33;47;77;100;100;100;0
751;L1;M2;11;32;121;56;100;100;100;0
742;R1;M3;32;25;36;68;100;100;100;0
752;L1;M3;19;24;110;47;100;100;100;0
743;R1;M4;34;39;38;77;100;100;100;0
753;L1;M4;21;38;112;56;100;100;100;0
745;R1;M6;38;41;1;51;100;100;100;0
755;L1;M6;27;36;72;30;100;100;100;0
746;R1;M7;36;41;-7;50;100;109;100;0
756;L1;M7;25;36;64;29;100;100;100;0
747;R1;M8;23;39;-35;73;100;100;100;0
757;L1;M8;10;33;53;47;100;100;100;0
800;R2;M1;-4;11;176;23;100;100;100;2
810;L2;M1;-4;42;61;116;100;100;100;2
801;R2;M2;-18;5;188;25;100;100;100;15
811;L2;M2;-18;36;73;125;100;100;100;15
807;R2;M8;-32;11;126;25;100;100;100;8
817;L2;M8;-32;42;12;110;100;100;100;8
820;R2;M1;20;22;105;42;100;100;100;0
830;L2;M1;20;26;57;68;100;100;100;0
821;R2;M2;6;16;117;44;100;100;100;0
831;L2;M2;6;20;69;80;100;100;100;0
822;R2;M3;11;5;112;26;100;100;100;0
832;L2;M3;11;15;60;74;100;100;100;0
823;R2;M4;13;19;114;41;100;100;100;0
833;L2;M4;13;29;64;80;100;100;100;0
824;R2;M5;87;33;-37;43;100;100;100;0
834;L2;M5;86;-14;52;-23;100;100;100;0
825;R2;M6;5;19;77;15;100;100;100;0
835;L2;M6;5;29;26;60;100;100;100;0
826;R2;M7;3;19;69;14;100;109;100;0
836;L2;M7;3;29;18;59;100;100;100;0
827;R2;M8;-11;19;65;41;100;100;100;0
837;L2;M8;-11;29;9;73;100;100;100;0
840;R2;M1;59;32;12;55;101;100;100;0
850;L2;M1;59;8;49;13;101;100;100;0
841;R2;M2;45;26;24;57;100;100;100;0
851;L2;M2;45;2;65;19;100;100;100;0
842;R2;M3;53;18;13;48;100;100;100;0
852;L2;M3;53;-6;48;10;100;100;100;0
843;R2;M4;55;32;15;57;101;100;100;0
853;L2;M4;55;8;56;19;101;100;100;0
845;R2;M6;47;32;4;35;102;100;100;0
855;L2;M6;47;8;19;8;102;100;100;0
846;R2;M7;45;32;-25;34;102;109;100;0
856;L2;M7;45;8;11;7;102;100;100;0
847;R2;M8;31;32;-34;57;102;100;100;0
857;L2;M8;31;8;1;16;102;100;100;0
900;R3;M1;17;21;206;49;100;100;100;2
910;L3;M1;17;39;150;112;100;100;100;2
901;R3;M2;3;15;218;51;100;100;100;20
911;L3;M2;3;33;162;114;100;100;100;20
904;R3;M5;115;54;-19;81;100;100;100;0
914;L3;M5;115;-13;126;-18;100;100;100;0
907;R3;M8;-11;21;160;51;100;100;100;15
917;L3;M8;-11;39;104;114;100;100;100;15
920;R3;M1;47;37;130;73;100;100;100;0
930;L3;M1;54;19;145;68;100;100;100;0
921;R3;M2;30;28;142;75;100;100;100;0
931;L3;M2;37;16;157;70;100;100;100;0
922;R3;M3;38;20;137;63;100;100;100;0
932;L3;M3;45;8;146;61;100;100;100;0
923;R3;M4;40;34;139;72;100;100;100;0
933;L3;M4;47;22;148;70;100;100;100;0
925;R3;M6;32;34;102;46;100;100;100;0
935;L3;M6;39;22;107;58;100;100;100;0
926;R3;M7;30;34;94;45;100;109;100;0
936;L3;M7;37;22;99;57;100;100;100;0
927;R3;M8;16;34;84;75;100;100;100;0
937;L3;M8;23;22;99;70;100;100;100;0
940;R3;M1;77;49;36;91;101;100;100;0
950;L3;M1;77;10;140;28;101;100;100;0
941;R3;M2;63;43;48;93;100;100;100;0
951;L3;M2;63;4;152;30;100;100;100;0
942;R3;M3;71;35;37;84;100;100;100;0
952;L3;M3;71;-4;137;21;100;100;100;0
943;R3;M4;73;49;39;93;101;100;100;0
953;L3;M4;73;10;139;27;101;100;100;0
945;R3;M6;65;49;2;67;102;100;100;0
955;L3;M6;65;10;98;10;102;100;100;0
946;R3;M7;63;49;-6;66;102;109;100;0
956;L3;M7;63;10;90;9;102;100;100;0
947;R3;M8;49;49;-10;93;102;100;100;0
957;L3;M8;49;10;94;30;102;100;100;0
1000;R4;M1;-10;20;121;37;100;100;100;2
1010;L4;M1;-10;49;66;86;100;100;100;2
1001;R4;M2;-24;14;133;39;100;100;100;20
1011;L4;M2;-24;43;78;88;100;100;100;20
1002;R4;M3;-16;6;122;30;100;100;100;20
1012;L4;M3;-16;35;67;79;100;100;100;20
1003;R4;M4;-14;20;124;39;100;100;100;6
1013;L4;M4;-14;49;69;88;100;100;100;6
1004;R4;M5;18;61;-24;107;100;100;100;0
1014;L4;M5;18;-13;137;-24;100;100;100;0
1005;R4;M6;-8;20;87;16;100;100;100;14
1015;L4;M6;-8;49;32;62;100;100;100;14
1006;R4;M7;-14;20;79;15;100;109;100;20
1016;L4;M7;-14;49;24;61;100;100;100;20
1007;R4;M8;-35;20;71;34;100;100;100;15
1017;L4;M8;-35;44;13;83;100;100;100;15
1020;R4;M1;1;43;58;77;100;100;100;0
1030;L4;M1;1;21;106;39;100;100;100;0
1021;R4;M2;-13;37;70;79;100;100;100;0
1031;L4;M2;-13;15;118;41;100;100;100;0
1022;R4;M3;-5;29;59;70;100;100;100;0
1032;L4;M3;-5;7;107;32;100;100;100;0
1023;R4;M4;-3;43;61;79;100;100;100;0
1033;L4;M4;-3;21;109;41;100;100;100;0
1025;R4;M6;0;43;24;56;100;100;100;0
1035;L4;M6;0;21;72;15;100;100;100;0
1026;R4;M7;-3;43;16;55;100;109;100;0
1036;L4;M7;-3;21;64;14;100;100;100;0
1027;R4;M8;-24;43;8;74;100;100;100;0
1037;L4;M8;-24;16;53;36;100;100;100;0
1100;R5;M1;-9;18;57;48;100;100;100;2
1110;L5;M1;-9;27;81;36;100;100;100;2
1101;R5;M2;-23;12;67;50;100;100;100;20
1111;L5;M2;-23;21;92;39;100;100;100;20
1102;R5;M3;-15;4;56;41;100;100;100;20
1112;L5;M3;-15;13;81;29;100;100;100;20
1103;R5;M4;-13;18;58;52;100;100;100;6
1113;L5;M4;-13;27;85;41;100;100;100;6
1104;R5;M5;13;37;-16;67;100;100;100;0
1114;L5;M5;13;-13;103;-22;100;100;100;0
1105;R5;M6;-7;24;21;31;100;100;100;14
1115;L5;M6;-7;30;46;22;100;100;100;14
1106;R5;M7;-13;24;13;28;100;109;100;20
1116;L5;M7;-13;30;38;16;100;100;100;20
1107;R5;M8;-34;18;5;45;100;100;100;15
1117;L5;M8;-34;27;30;33;100;100;100;15
1200;R6;M1;15;21;186;58;100;100;100;2
1210;L6;M1;40;17;146;78;100;100;100;2
1201;R6;M2;1;15;198;60;100;100;100;20
1211;L6;M2;26;11;155;80;100;100;100;20
1202;R6;M3;9;7;188;51;100;100;100;20
1212;L6;M3;34;3;144;71;100;100;100;20
1203;R6;M4;11;21;190;60;100;100;100;6
1213;L6;M4;36;17;146;80;100;100;100;6
1204;R6;M5;116;76;-19;112;100;100;100;0
1214;L6;M5;104;-15;124;-19;100;100;100;0
1205;R6;M6;3;21;150;37;100;100;100;14
1215;L6;M6;28;17;107;60;100;100;100;14
1206;R6;M7;1;21;142;36;100;109;100;20
1216;L6;M7;26;17;102;61;100;100;100;20
1207;R6;M8;-13;21;140;60;100;100;100;15
1217;L6;M8;12;17;97;80;100;100;100;15
1220;R6;M1;54;48;72;99;100;100;100;0
1230;L6;M1;69;8;136;33;100;100;100;0
1221;R6;M2;40;42;84;101;100;100;100;0
1231;L6;M2;55;2;148;35;100;100;100;0
1222;R6;M3;48;34;73;92;100;100;100;0
1232;L6;M3;63;-6;136;26;100;100;100;0
1223;R6;M4;50;48;75;101;100;100;100;0
1233;L6;M4;65;8;139;35;100;100;100;0
1225;R6;M6;42;48;42;75;100;100;100;0
1235;L6;M6;57;8;100;13;100;100;100;0
1226;R6;M7;40;48;34;74;100;109;100;0
1236;L6;M7;55;8;92;14;100;100;100;0
1227;R6;M8;26;48;26;101;100;100;100;0
1237;L6;M8;41;8;90;29;100;100;100;0
1304;H2;M5;40;68;-47;99;109;100;100;0
1314;H2;M5;40;25;69;11;100;100;100;0
1305;H5;M5;24;71;-34;106;109;100;100;0
1315;H5;M5;24;40;76;13;100;100;100;0
1306;H7;M5;72;21;-33;33;109;100;100;0
1316;H7;M5;72;-11;34;-24;100;100;100;0
